Zone Number,External IFC ID,Zone Name,Home Story,Area,IFC Type
183-1001,0BNUPPuLb2_97JT$vxIPk_,LAB PC,B183-01.0,111.09,IfcSpace
183-1003,0BNUPPuLb2_97JT$vxIPkr,LAB PC,B183-01.0,110.4,IfcSpace
183-1005,0BNUPPuLb2_97JT$vxIPkC,CLR,B183-01.0,106.66,IfcSpace
183-1010,0BNUPPuLb2_97JT$vxIPYY,ROOM,B183-01.0,54,IfcSpace
183-1015,0BNUPPuLb2_97JT$vxIPez,LAB PC,B183-01.0,52.03,IfcSpace
183-1020,0BNUPPuLb2_97JT$vxIQPn,LIFT,B183-01.0,4.29,IfcSpace
183-1021,0BNUPPuLb2_97JT$vxIPYw,SERV,B183-01.0,3.97,IfcSpace
183-1023,0BNUPPuLb2_97JT$vxIPYm,SAN,B183-01.0,6.94,IfcSpace
183-1026,0BNUPPuLb2_97JT$vxIPYp,SAN,B183-01.0,3.95,IfcSpace
183-1030,0BNUPPuLb2_97JT$vxIQPR,SERV,B183-01.0,2.72,IfcSpace
183-1031,0BNUPPuLb2_97JT$vxIQPU,SAN,B183-01.0,6.94,IfcSpace
183-1034,0BNUPPuLb2_97JT$vxIQPH,SAN,B183-01.0,3.95,IfcSpace
183-1040,1Qg37Dxin64QeFMkWUi4Jb,PLANT,B183-01.0,3.28,IfcSpace
183-1045,0BNUPPuLb2_97JT$vxIQL0,CLR,B183-01.0,221.38,IfcSpace
183-1060,1Qg37Dxin64QeFMkWUi4Lm,CIR,B183-01.0,254.5,IfcSpace
183-1104,1Qg37Dxin64QeFMkWUi46T,CLR,B183-01.0,299.09,IfcSpace
183-1109,1Qg37Dxin64QeFMkWUi5qm,KITCH,B183-01.0,6.63,IfcSpace
183-1110,0BNUPPuLb2_97JT$vxIQLV,STO,B183-01.0,10.77,IfcSpace
183-1111,1Qg37Dxin64QeFMkWUi5o$,RESOURCE,B183-01.0,7.97,IfcSpace
183-2001,0pX2cXqeX5AvTusBIla3jp,LAB PC,B183-02.0,123.17,IfcSpace
183-2003,0pX2cXqeX5AvTusBIla3iA,LAB PC,B183-02.0,103.21,IfcSpace
183-2005,0pX2cXqeX5AvTusBIla3i1,LAB PC,B183-02.0,102.02,IfcSpace
183-2010,0pX2cXqeX5AvTusBIla3iO,ROOM,B183-02.0,68.8,IfcSpace
183-2011,0pX2cXqeX5AvTusBIla3iN,ROOM,B183-02.0,32.99,IfcSpace
183-2020,0pX2cXqeX5AvTusBIla3XS,LIFT,B183-02.0,4.24,IfcSpace
183-2021,0pX2cXqeX5AvTusBIla3Zi,PLANT,B183-02.0,4.96,IfcSpace
183-2022,0qRLnnlDP3pOVwRFtqdq8j,SAN,B183-02.0,5.06,IfcSpace
183-2023,0pX2cXqeX5AvTusBIla3Yx,SAN,B183-02.0,3.52,IfcSpace
183-2024,0pX2cXqeX5AvTusBIla3Pm,SAN,B183-02.0,15.06,IfcSpace
183-2025,0qRLnnlDP3pOVwRFtqdq9R,SAN,B183-02.0,4.95,IfcSpace
183-2026,0pX2cXqeX5AvTusBIla3Pp,SAN,B183-02.0,14.68,IfcSpace
183-2027,0pX2cXqeX5AvTusBIla3Pr,SAN,B183-02.0,3.63,IfcSpace
183-2028,0qRLnnlDP3pOVwRFtqdq9D,STO,B183-02.0,1.7,IfcSpace
183-2029,0qRLnnlDP3pOVwRFtqdq94,SERV,B183-02.0,2.8,IfcSpace
183-2033,0pX2cXqeX5AvTusBIla3SD,STO,B183-02.0,2.23,IfcSpace
183-2034,0pX2cXqeX5AvTusBIla3S8,STO,B183-02.0,2.23,IfcSpace
183-2035,0pX2cXqeX5AvTusBIla3QR,STO,B183-02.0,2.22,IfcSpace
183-2036,0pX2cXqeX5AvTusBIla3QM,STO,B183-02.0,2.22,IfcSpace
183-2046,0pX2cXqeX5AvTusBIla3U3,CLR,B183-02.0,110.89,IfcSpace
183-2048,0pX2cXqeX5AvTusBIla3UP,ROOM,B183-02.0,16.84,IfcSpace
183-2049,0pX2cXqeX5AvTusBIla3UU,CLR,B183-02.0,87.11,IfcSpace
183-2060,0TCqQCGX9Duv83AYUyIza3,CIR,B183-02.0,224.45,IfcSpace
183-2104,3nkpMmqK5BffwmS8giPHnP,ADMIN,B183-02.0,250.48,IfcSpace
183-2105,3nkpMmqK5BffwmS8giPHg0,ADMIN,B183-02.0,9.3,IfcSpace
183-2106,3nkpMmqK5BffwmS8giPHgV,ADMIN,B183-02.0,11.05,IfcSpace
183-2107,3nkpMmqK5BffwmS8giPHgQ,ADMIN,B183-02.0,12.52,IfcSpace
183-2108,3nkpMmqK5BffwmS8giPHgP,ADMIN,B183-02.0,12.81,IfcSpace
183-2109,3nkpMmqK5BffwmS8giPH$Z,KITCH,B183-02.0,6.72,IfcSpace
183-2110,3nkpMmqK5BffwmS8giPH$z,STO,B183-02.0,7.65,IfcSpace
183-2111,3nkpMmqK5BffwmS8giPH$u,SERV,B183-02.0,8.99,IfcSpace
183-2113,3nkpMmqK5BffwmS8giPH$_,PLANT,B183-02.0,2.19,IfcSpace
183-3001,1fwe9hEWH5BeapmxDwXCKN,TUT,B183-03.0,46.64,IfcSpace
183-3003,1fwe9hEWH5BeapmxDwXCKS,TUT,B183-03.0,36.6,IfcSpace
183-3005,1fwe9hEWH5BeapmxDwXCK5,TUT,B183-03.0,40.95,IfcSpace
183-3006,1fwe9hEWH5BeapmxDwXCK6,TUT,B183-03.0,26.98,IfcSpace
183-3007,1fwe9hEWH5BeapmxDwXCKE,TUT,B183-03.0,13.61,IfcSpace
183-3008,1fwe9hEWH5BeapmxDwXCKp,TUT,B183-03.0,13.87,IfcSpace
183-3010,1fwe9hEWH5BeapmxDwXCOj,MEET,B183-03.0,46.2,IfcSpace
183-3011,1fwe9hEWH5BeapmxDwXCQN,ADMIN,B183-03.0,16.48,IfcSpace
183-3012,1fwe9hEWH5BeapmxDwXCQO,TUT,B183-03.0,13.3,IfcSpace
183-3013,1fwe9hEWH5BeapmxDwXCQT,TUT,B183-03.0,16.25,IfcSpace
183-3014,1fwe9hEWH5BeapmxDwXCQU,ADMIN,B183-03.0,12.58,IfcSpace
183-3015,1fwe9hEWH5BeapmxDwXCQ3,ROOM,B183-03.0,46.6,IfcSpace
183-3016,1fwe9hEWH5BeapmxDwXCVP,LAB PC,B183-03.0,65.6,IfcSpace
183-3020,1fwe9hEWH5BeapmxDwXCXE,LIFT,B183-03.0,4.24,IfcSpace
183-3021,1fwe9hEWH5BeapmxDwXCXt,SERV,B183-03.0,4.15,IfcSpace
183-3022,1fwe9hEWH5BeapmxDwXCXu,SAN,B183-03.0,6.97,IfcSpace
183-3023,1fwe9hEWH5BeapmxDwXCXz,SAN,B183-03.0,3.23,IfcSpace
183-3024,1fwe9hEWH5BeapmxDwXCXZ,SAN,B183-03.0,14.77,IfcSpace
183-3025,1fwe9hEWH5BeapmxDwXCXa,SAN,B183-03.0,3.23,IfcSpace
183-3026,1fwe9hEWH5BeapmxDwXCXf,SAN,B183-03.0,14.37,IfcSpace
183-3027,1fwe9hEWH5BeapmxDwXCZH,SAN,B183-03.0,6.96,IfcSpace
183-3028,1fwe9hEWH5BeapmxDwXCZI,SERV,B183-03.0,3.12,IfcSpace
183-3030,0N7Yg1wE5DZxIfXKGKZTQd,CIR,B183-03.0,40.63,IfcSpace
183-3045,1fwe9hEWH5BeapmxDwXCZO,TUT,B183-03.0,8.05,IfcSpace
183-3046,1fwe9hEWH5BeapmxDwXCZ1,TUT,B183-03.0,15.63,IfcSpace
183-3047,1fwe9hEWH5BeapmxDwXCZ2,CLR,B183-03.0,108.49,IfcSpace
183-3048,1fwe9hEWH5BeapmxDwXCZ7,TUT,B183-03.0,8.61,IfcSpace
183-3049,1fwe9hEWH5BeapmxDwXCZ8,TUT,B183-03.0,14.56,IfcSpace
183-3050,1fwe9hEWH5BeapmxDwXCZD,MEET,B183-03.0,8.07,IfcSpace
183-3051,1fwe9hEWH5BeapmxDwXCdA,MEET,B183-03.0,39.67,IfcSpace
183-3054,1fwe9hEWH5BeapmxDwXCdF,STO,B183-03.0,8.64,IfcSpace
183-3055,1fwe9hEWH5BeapmxDwXCdy,TUT,B183-03.0,8.57,IfcSpace
183-3060,3py8vUSm1E$PUnPp4wIUzJ,CIR,B183-03.0,0.03,IfcSpace
183-3104,3py8vUSm1E$PUnPp4wIVEF,ADMIN,B183-03.0,245.27,IfcSpace
183-3105,3py8vUSm1E$PUnPp4wIVE4,MEET,B183-03.0,9.35,IfcSpace
183-3106,3py8vUSm1E$PUnPp4wIVE1,MEET,B183-03.0,11.3,IfcSpace
183-3107,3py8vUSm1E$PUnPp4wIVE2,MEET,B183-03.0,12.82,IfcSpace
183-3108,3py8vUSm1E$PUnPp4wIVE$,MEET,B183-03.0,13.12,IfcSpace
183-3109,3py8vUSm1E$PUnPp4wIVEo,KITCH,B183-03.0,6.67,IfcSpace
183-3110,3py8vUSm1E$PUnPp4wIVEl,STO,B183-03.0,10.77,IfcSpace
183-3111,3py8vUSm1E$PUnPp4wIVCN,RESOURCE,B183-03.0,7.93,IfcSpace